window_id,Start,Stop
box223,2020-05-08 09:18:37.630,2020-05-08 09:18:39.344
box224,2020-05-08 09:18:58.542,2020-05-08 09:19:00.275
box225,2020-05-08 09:20:38.184,2020-05-08 09:20:39.938
box226,2020-05-08 09:23:05.894,2020-05-08 09:23:07.656
box227,2020-05-08 09:40:10.891,2020-05-08 09:40:12.647
box228,2020-05-08 09:42:36.524,2020-05-08 09:42:38.280
box229,2020-05-08 09:44:18.096,2020-05-08 09:44:19.868
box230,2020-05-08 09:44:35.690,2020-05-08 09:44:37.406
box231,2020-05-08 09:45:07.969,2020-05-08 09:45:09.726
box232,2020-05-08 09:49:12.386,2020-05-08 09:49:14.162
box233,2020-05-08 09:51:00.071,2020-05-08 09:51:01.833
box234,2020-05-08 09:51:13.184,2020-05-08 09:51:14.960
box235,2020-05-08 09:51:44.494,2020-05-08 09:51:46.264
box236,2020-05-08 09:54:13.669,2020-05-08 09:54:15.380
box237,2020-05-08 09:54:51.762,2020-05-08 09:54:53.593
box238,2020-05-08 09:56:15.796,2020-05-08 09:56:17.671
box239,2020-05-08 09:59:07.594,2020-05-08 09:59:09.283
box240,2020-05-08 10:05:51.904,2020-05-08 10:05:53.655
box241,2020-05-08 10:06:57.560,2020-05-08 10:06:59.279
box242,2020-05-08 10:14:11.352,2020-05-08 10:14:13.107
box243,2020-05-08 10:14:57.156,2020-05-08 10:14:58.929
box244,2020-05-08 10:20:12.736,2020-05-08 10:20:14.526
box245,2020-05-08 11:19:58.159,2020-05-08 11:19:59.915
box246,2020-05-08 11:20:34.503,2020-05-08 11:20:36.265
box247,2020-05-08 11:24:22.088,2020-05-08 11:24:23.858
box248,2020-05-08 11:24:46.403,2020-05-08 11:24:48.190
box249,2020-05-08 12:01:31.726,2020-05-08 12:01:33.569
box250,2020-05-08 12:03:30.134,2020-05-08 12:03:31.903
box251,2020-05-08 12:29:08.016,2020-05-08 12:29:09.769
box252,2020-05-08 12:41:38.619,2020-05-08 12:41:40.331
box253,2020-05-08 12:44:52.049,2020-05-08 12:44:53.807
